8,112,6193,82.15
10,156,6608,54.99
14,290,3797,47.36
20,199,6783,44.69
56,169,3422,66.49
101,264,9311,58.48
104,289,5225,13.47
130,196,8876,23.68
134,153,5299,45.19
141,28,9779,98.01
149,279,2778,45.16
172,53,7020,75.14
177,213,1049,92.08
185,206,2311,63.45
192,107,1269,50.64
199,148,896,27.95
203,7,3373,38.15
211,37,77,38.11
251,244,344,20.87
254,235,8886,47.81
268,5,9975,98.76
303,219,228,51.35
306,294,2690,52.4
323,55,5861,17.38
409,137,9169,39.65
428,250,4955,90.91
429,287,6049,80.06
443,276,4984,99.22
481,169,9479,50.82
534,133,1744,39.88
545,8,9885,20.78
546,219,887,68.0
556,30,3221,78.03
599,45,7123,60.74
600,265,9712,62.48
636,230,6270,39.12
706,123,6878,82.98
709,40,649,7.6
714,111,1937,60.37
727,53,7428,86.86
772,100,891,9.21
786,202,6146,41.25
790,267,7070,51.88
816,231,2469,7.8
822,216,4580,15.06
825,230,8123,8.59
835,262,9528,32.39
892,174,7914,73.0
905,146,9179,96.2
906,189,8753,26.44
913,45,5885,35.83
942,116,353,41.79
956,282,9663,37.47
995,262,6395,82.69
1049,119,6211,17.64
1059,76,7708,19.44
1064,20,3867,57.63
1067,140,8356,20.33
1073,7,7720,81.14
1085,85,5612,48.89
1103,28,2205,38.12
1111,267,5815,30.03
1145,75,627,86.43
1177,175,1978,93.56
1193,287,3143,72.22
1198,118,4379,26.95
1216,176,8348,85.37
1226,260,908,23.24
1237,275,4088,92.99
1307,210,5403,37.12
1372,83,2465,54.83
1395,281,8418,63.66
1400,290,9984,66.8
1408,198,4764,10.97
1413,18,9956,11.62
1462,86,1787,5.24
1490,64,4247,49.3
1507,232,7315,27.13
1555,104,3016,94.4
1561,235,997,70.21
1624,187,8803,85.36
1693,188,3653,86.47
1733,230,2463,11.44
1764,236,9764,14.63
1777,193,6357,81.68
1798,150,1652,38.02
1823,269,3896,23.71
